"category","autistic_persons_(%)","non-autistic_persons_(%)"
"Cannot attend school because of disability","4","5"
"Attending special classes","25","16"
"Attending special school","21","6"
"Total attending special classes or special school","45","23"
"Needs at least one day a week off school","24","12"
"Has difficulty at school","71","53"
"Uses special assistance from a person at school","56","33"
"Uses special equipment or modifications at school","19","9"
"Uses special arrangements at school or institution","45","28"
"Total with educational restriction","97","78"
"Attending and no educational restriction","2","23"
"Total aged 5 to 20 years who attended school or did not attend school due to disability","100","100"